,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_tripeptide_composition', '_composition')","Composition,CTD",0.8237526157631856,2.333357752105697,5.444558399311752,2.381983012521771,1.9030709751479276,0.8239280139524625
1,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.8181939033043616,2.152171164838839,4.631840722763765,2.3452858246400696,1.6931251209953098,0.8290651071712629
2,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.8153912184824551,2.7579213588995373,7.606130221874271,2.327414963069771,2.244060522134429,0.8208259049038906
3,"('_geary_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7977490184234065,2.79472218685415,7.8104721016948435,2.2235898399249994,2.1565868873017306,0.7977500897190202
4,"('_moran_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.789211386896546,2.814891961655288,7.923616755791556,2.1780930377489307,2.281918419294197,0.790335444878211
5,"('_ctd', '_transition')","CTD,CTD",0.7890853051856662,2.7730382319236777,7.689741035710397,2.177441924392946,2.219379220071493,0.7890942129067875
6,"('_moran_autocorrelation', '_composition')","Autocorrelation,CTD",0.7851549066616437,2.7635162056513476,7.637021818897622,2.15743281507895,2.0448802041711414,0.7919632103237193
7,"('_dipeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7790385311704775,2.7051267104313266,7.317710519489011,2.127363609200227,2.0489329230269355,0.7883359595428922
8,"('_dipeptide_composition', '_transition')","Composition,CTD",0.7748268228292002,2.7377743235600316,7.495408246744588,2.1073742647415337,2.1088787530143316,0.774840660440296
9,"('_tripeptide_composition', '_distribution')","Composition,CTD",0.7730897006050873,2.883763517968288,8.316092027564837,2.0992922166393595,2.4946289380100604,0.773396651673785
10,"('_distribution', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition",0.7699223029366153,3.1691468658874355,10.043491857564154,2.084792035046262,2.5229469414641033,0.7710903461664288
11,"('_conjoint_triad', '_seq_order_coupling_number')","Conjoint Triad,Quasi-Sequence-Order",0.7689137759043319,2.563053677094027,6.569244151665214,2.080237743230135,2.018093834679601,0.8051073537443737
12,"('_normalized_moreaubroto_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.7588524928080819,3.163510725863984,10.007800112656472,2.036379008486225,2.404821920411513,0.7588563874054362
13,"('_seq_order_coupling_number', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7561529607528945,2.9036025287522027,8.430907644976186,2.0250756731125104,2.245917070771768,0.7590790844986558
14,"('_geary_autocorrelation', '_composition')","Autocorrelation,CTD",0.7546406174780457,2.9120207473871043,8.479864833212948,2.018824957399717,2.249931730040188,0.7554335663742463
15,"('_ctd', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7523838831874664,2.95886865482871,8.754903716527862,2.0096042739936757,2.4161145188885365,0.7536736712060861
16,"('_transition', '_distribution')","CTD,CTD",0.7466694779875999,3.155026787739137,9.954194031351538,1.9868095597583588,2.5250726816829534,0.749599416054938
17,"('_dipeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7462912598573077,3.0591727262599284,9.358537769092603,1.9853280820964896,2.3570138756343595,0.7526308828484298
18,"('_dipeptide_composition', '_tripeptide_composition')","Composition,Composition",0.7437858727629444,3.1257206645269733,9.770129672650944,1.9755974813393657,2.2923703083299496,0.7559822092679529
19,"('_tripeptide_composition', '_ctd')","Composition,CTD",0.7437159800541531,2.892809934219824,8.368349315520902,1.9753280746184432,2.3788219204785017,0.7437237669330721
20,"('_geary_autocorrelation', '_seq_order_coupling_number')","Autocorrelation,Quasi-Sequence-Order",0.7416855829102376,2.7329585641971392,7.469062513618489,1.9675495447604605,2.2270395326199357,0.7427968285363102
21,"('_aa_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7411319733416931,2.818498945972813,7.943936308449857,1.965444539256139,2.312252023641975,0.7565310079215125
22,"('_geary_autocorrelation', '_distribution')","Autocorrelation,CTD",0.7400388763401292,3.2200406612818733,10.368661860308602,1.961307988549005,2.3966284181377895,0.7523211053859862
23,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation')","Autocorrelation,Autocorrelation",0.7396386409210645,3.095040776751044,9.579277409751706,1.9597999175447762,2.516317294302915,0.7396387290886154
24,"('_conjoint_triad', '_amp_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7392243269210386,3.091338363178426,9.556372875658669,1.9582424576397335,2.4853569997871974,0.7392923206342301
25,"('_geary_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7390828324239409,3.2418588442590686,10.509648766100744,1.9577114115045533,2.4730924096544413,0.7406815638489543
26,"('_transition', '_conjoint_triad')","CTD,Conjoint Triad",0.7358106035351288,2.698573578651663,7.282299359396844,1.945549606325326,2.1703475127101006,0.7363409191493917
27,"('_normalized_moreaubroto_autocorrelation', '_composition')","Autocorrelation,CTD",0.7355385123520335,2.7939292618970857,7.806040720484795,1.9445485094761645,2.276266826883108,0.7424162774115242
28,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7298325030119364,3.1278625161881086,9.783523920174606,1.9239042339605996,2.5272158106225144,0.7298383685617491
29,"('_moran_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7276224178742825,3.3221962405575005,11.03698786077439,1.916083009265432,2.67030067843433,0.7290041340677551
30,"('_seq_order_coupling_number', '_quasi_seq_order')","Quasi-Sequence-Order,Quasi-Sequence-Order",0.7266448084950253,2.8458621563736135,8.098931413079473,1.9126536642943432,2.3924604488535715,0.750829069856976
31,"('_quasi_seq_order', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7260743465470847,3.095727441270505,9.583528390635228,1.910661034583985,2.576200709378596,0.726080344903516
32,"('_dipeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.7188451033169917,3.1799332660503326,10.111975576533535,1.885936970322189,2.5264494052757027,0.719602013376925
33,"('_moran_autocorrelation', '_ctd')","Autocorrelation,CTD",0.718613788479307,3.1184617420007155,9.724803636322136,1.885161639340205,2.502229859598739,0.7192068725057503
