,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_aa_composition', '_composition')","Composition,CTD",0.8556368243065285,2.419491604168428,5.853939622641512,2.6319145588926536,1.9467924528301888,0.8571159525640619
1,"('_moran_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.7572142515872193,3.088232076527049,9.537177358490567,2.02949695955059,2.3796226415094344,0.7787255265174556
2,"('_distribution', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7563990825244263,3.1400276407868875,9.859773584905666,2.026098430718751,2.4686792452830195,0.7617912269872493
3,"('_tripeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.753650143888442,3.075029068738197,9.455803773584904,2.014762428657071,2.2799999999999994,0.773003411994327
4,"('_ctd', '_conjoint_triad')","CTD,Conjoint Triad",0.7471522037612338,2.696139798178269,7.269169811320756,1.9887052196618311,2.1792452830188687,0.7624776909543359
5,"('_moran_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7456441477307527,3.0030537916380546,9.018332075471697,1.9828010161102365,2.357358490566038,0.7468991582885436
6,"('_moran_autocorrelation', '_distribution')","Autocorrelation,CTD",0.7305350719462156,3.0256812736657035,9.154747169811314,1.9264106741432294,2.310943396226414,0.7355515485306878
7,"('_tripeptide_composition', '_distribution')","Composition,CTD",0.7272296469273438,3.297216664984129,10.871637735849061,1.9147029970290055,2.7184905660377376,0.7591709641668158
8,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.7192227709712857,2.9966887386290924,8.98014339622642,1.8872049115374687,2.39811320754717,0.7192415820446636
9,"('_composition', '_transition')","CTD,CTD",0.7141364169065109,3.098484108977308,9.600603773584904,1.870340092677492,2.5011320754716984,0.7142707578962009
10,"('_aa_composition', '_tripeptide_composition')","Composition,Composition",0.7081121928081109,3.474906269945372,12.074973584905658,1.850938645280251,2.892830188679245,0.7097892538172446
11,"('_aa_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7001672390612661,3.569878175607572,12.744030188679247,1.82625096347361,2.829433962264151,0.7139190352278137
12,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation')","Composition,Autocorrelation",0.6996686733776963,3.377618900048118,11.408309433962257,1.8247344978819449,2.583018867924527,0.731829435935385
13,"('_dipeptide_composition', '_seq_order_coupling_number')","Composition,Quasi-Sequence-Order",0.6982850099223217,3.407650659746084,11.61208301886792,1.8205455780710906,2.6932075471698114,0.7119956103878854
14,"('_transition', '_pseudo_aa_composition')","CTD,Pseudo Composition",0.6975718333797338,2.848401074154636,8.113388679245285,1.818397734562704,2.398490566037737,0.6975811966333689
15,"('_dipeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.6974448250812931,3.574241178208319,12.775199999999991,1.8180160259291571,2.7411320754716977,0.7204887417602692
16,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation')","Composition,Autocorrelation",0.6948241772558776,3.023134697003495,9.139343396226414,1.810193236773443,2.4230188679245277,0.7473295883569083
17,"('_normalized_moreaubroto_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.6942962659355132,3.652379942624127,13.33987924528302,1.8086295751120114,2.74943396226415,0.6950171290655016
18,"('_moran_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.6903163927228999,3.3300450447403853,11.089199999999995,1.796970267781065,2.650943396226415,0.732449960789429
19,"('_quasi_seq_order', '_amp_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.688975957052893,3.37357209486403,11.38098867924528,1.7930938409336077,2.7392452830188674,0.7384900060221683
20,"('_ctd', '_pseudo_aa_composition')","CTD,Pseudo Composition",0.6877461875966162,3.070161940292831,9.425894339622639,1.7895594286217524,2.3694339622641505,0.6914743683182404
21,"('_normalized_moreaubroto_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.6873926885427855,3.444935029647231,11.867577358490568,1.7885473177684301,2.8158490566037733,0.6904174977442514
22,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.6842262724176705,3.03339525819713,9.201486792452833,1.7795574092877202,2.470566037735849,0.6853103691942759
23,"('_aa_composition', '_seq_order_coupling_number')","Composition,Quasi-Sequence-Order",0.6802762665229884,3.202876066028723,10.258415094339629,1.768530533091,2.583396226415095,0.7243698380049762
24,"('_aa_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.677181340063294,3.4937961189449385,12.206611320754714,1.7600324896020674,2.7011320754716985,0.7213322113384874
25,"('_tripeptide_composition', '_quasi_seq_order')","Composition,Quasi-Sequence-Order",0.6736820025715915,3.384418235450937,11.454286792452834,1.7505700196500713,2.8901886792452824,0.6895701336769153
26,"('_transition', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.6681771648740625,3.4145360744577853,11.659056603773584,1.7359885851073462,2.752830188679246,0.668734991102161
27,"('_dipeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.6678964952537187,3.291423962073742,10.833471698113211,1.7352548646882324,2.6026415094339623,0.673245947310397
28,"('_transition', '_seq_order_coupling_number')","CTD,Quasi-Sequence-Order",0.6632943735201303,3.4181844458221353,11.683984905660378,1.7233552565030736,2.5637735849056607,0.6746023218308732
29,"('_pseudo_aa_composition', '_amp_pseudo_aa_composition')","Pseudo Composition,Pseudo Composition",0.6629217833208951,3.425602825340546,11.734754716981133,1.7224025357651693,2.675094339622641,0.6785233930537372
30,"('_dipeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.6628436440066803,3.2534811544930617,10.585139622641506,1.7222029323030892,2.5543396226415083,0.678016607869053
31,"('_dipeptide_composition', '_tripeptide_composition')","Composition,Composition",0.66008903087983,3.054215768779958,9.32823396226415,1.7152104347959491,2.4139622641509426,0.6878494019680921
32,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation')","Autocorrelation,Autocorrelation",0.6587767582304611,3.6411588451822676,13.258037735849063,1.7119090888069253,2.636981132075473,0.6749084001666816
33,"('_ctd', '_transition')","CTD,CTD",0.6492064531584831,3.643070444577065,13.271962264150936,1.6883955631857568,2.815471698113207,0.6926390506531954
34,"('_tripeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.646791810991348,3.271130437573934,10.700294339622637,1.682614464586279,2.7113207547169798,0.6665649041546238
35,"('_moran_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.6455706142787632,3.648704086307077,13.313041509433962,1.6797132149122864,2.852830188679245,0.6580179692465401
36,"('_tripeptide_composition', '_transition')","Composition,CTD",0.6453225434592151,3.139727184398803,9.857886792452835,1.679125694177228,2.4430188679245286,0.673761167724648
37,"('_conjoint_triad', '_seq_order_coupling_number')","Conjoint Triad,Quasi-Sequence-Order",0.6420345267348375,3.4500795725031863,11.90304905660377,1.6713962756698302,2.598490566037736,0.642419946229698
38,"('_dipeptide_composition', '_transition')","Composition,CTD",0.6416943263887334,3.44470936967249,11.866022641509442,1.6706026172563009,2.6701886792452836,0.72179195096068
39,"('_aa_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.6399964391599169,3.3979616531424277,11.54614339622642,1.6666584240424362,2.597735849056604,0.6506909650342818
40,"('_conjoint_triad', '_quasi_seq_order')","Conjoint Triad,Quasi-Sequence-Order",0.6388550051355558,3.2561013845418096,10.602196226415089,1.6640225212826607,2.7015094339622623,0.6575842006783543
41,"('_geary_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.6366431033418556,3.3390304772945525,11.149124528301886,1.658949997602476,2.8766037735849053,0.7088693270390545
42,"('_geary_autocorrelation', '_amp_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.6315327272282445,3.762247421472617,14.154505660377355,1.647405607976346,2.856603773584905,0.7021290287663912
43,"('_normalized_moreaubroto_autocorrelation', '_amp_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.6283721123418969,3.5515534735481165,12.61353207547169,1.6403852350456396,2.869811320754717,0.6340077972668664
44,"('_ctd', '_composition')","CTD,CTD",0.6209866495534949,3.41722385393824,11.67741886792452,1.624324317237168,2.6445283018867918,0.6791023349358062
45,"('_geary_autocorrelation', '_composition')","Autocorrelation,CTD",0.6208968614640685,3.26282317852801,10.646015094339626,1.6241319505711387,2.723396226415095,0.6216563137339217
46,"('_distribution', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition",0.6186485215893128,3.6801804713745754,13.543728301886793,1.6193371628782094,2.7411320754716986,0.6562905463069754
47,"('_aa_composition', '_distribution')","Composition,CTD",0.6174219098594167,3.6730790127578605,13.49150943396226,1.616739140838731,2.9233962264150937,0.6174753125927483
48,"('_quasi_seq_order', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.6161051138142735,3.3751578579434973,11.391690566037738,1.6139639743582552,2.5981132075471702,0.6692226596325899
49,"('_transition', '_distribution')","CTD,CTD",0.615632167118709,3.842371516124453,14.763818867924527,1.6129707150181498,2.8739622641509435,0.6156327009684925
50,"('_geary_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.6134393347519775,3.88808436122469,15.117200000000004,1.6083892805736506,2.776981132075473,0.6232927402992552
51,"('_seq_order_coupling_number', '_amp_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.6095304376346868,4.166468121055721,17.359456603773587,1.6003184313117134,3.100377358490565,0.642534650243301
52,"('_tripeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.6060592132313284,3.771387813224178,14.223366037735849,1.5932521970479447,3.012075471698113,0.6888623869674492
53,"('_tripeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.6046753100967057,4.012176748867246,16.09756226415094,1.5904610233414302,3.0969811320754714,0.6816952518603004
54,"('_normalized_moreaubroto_autocorrelation', '_composition')","Autocorrelation,CTD",0.600107859550689,3.6177893802707755,13.0884,1.5813520493606499,2.9316981132075473,0.6008789915995636
55,"('_tripeptide_composition', '_ctd')","Composition,CTD",0.5980831919793661,3.6130747894227526,13.054309433962267,1.5773639671046542,2.9222641509433966,0.6086434359514177
56,"('_moran_autocorrelation', '_composition')","Autocorrelation,CTD",0.5978694931001021,3.646202470081741,13.294792452830189,1.5769447926069609,2.74188679245283,0.6104052847459687
57,"('_tripeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.5969291530684164,3.5060712840808885,12.292535849056609,1.5751042598617235,2.6252830188679255,0.6089273283211927
58,"('_seq_order_coupling_number', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.5959871493161897,3.3889576512940005,11.485033962264149,1.5732669172904996,2.6313207547169806,0.6000356156396237
59,"('_normalized_moreaubroto_autocorrelation', '_distribution')","Autocorrelation,CTD",0.5934765901566534,3.895001150483032,15.171033962264143,1.568401395868656,3.1433962264150943,0.5945892595730685
60,"('_composition', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition",0.5933288947491695,4.1661393377000815,17.356716981132074,1.5681165628470266,3.3264150943396227,0.5934132434183617
61,"('_aa_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.5922106132820656,3.605958381492582,13.002935849056602,1.565964962510003,3.0283018867924527,0.6278003280156392
62,"('_geary_autocorrelation', '_seq_order_coupling_number')","Autocorrelation,Quasi-Sequence-Order",0.5905312371527052,3.56183543950492,12.686671698113207,1.5627503751711485,2.7864150943396218,0.6124937304626326
63,"('_composition', '_pseudo_aa_composition')","CTD,Pseudo Composition",0.589442979693672,3.79062000205771,14.368799999999995,1.560677821113208,2.8867924528301883,0.631944448513197
64,"('_conjoint_triad', '_amp_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.5892435752822647,3.37988723714994,11.423637735849056,1.5602989544637627,2.4271698113207543,0.6412820813469032
65,"('_aa_composition', '_transition')","Composition,CTD",0.5842412252646836,3.950900542197896,15.60961509433963,1.550883901871646,3.0558490566037744,0.6442599881399815
66,"('_distribution', '_conjoint_triad')","CTD,Conjoint Triad",0.5841205381304604,3.389567791226598,11.489169811320759,1.5506588543134594,2.6584905660377354,0.5921101518002114
67,"('_dipeptide_composition', '_quasi_seq_order')","Composition,Quasi-Sequence-Order",0.582308445362643,3.464897831268922,12.005516981132077,1.547291546646876,2.666037735849057,0.5960759198293737
68,"('_aa_composition', '_quasi_seq_order')","Composition,Quasi-Sequence-Order",0.5803045610938035,3.8909929857421157,15.139826415094346,1.543593265942876,2.9883018867924527,0.5903722882682023
69,"('_dipeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.5786729693794178,3.0962009588136383,9.586460377358494,1.5406015792329033,2.4309433962264153,0.6414845379406638
70,"('_composition', '_conjoint_triad')","CTD,Conjoint Triad",0.5770030222657196,3.9162901197289743,15.337328301886785,1.537557506189564,3.0445283018867926,0.5998511390295251
71,"('_composition', '_seq_order_coupling_number')","CTD,Quasi-Sequence-Order",0.5733479212848056,3.957373819488096,15.660807547169801,1.530957261568947,3.0237735849056593,0.590342344215653
72,"('_dipeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.5700654396719005,3.727770338702911,13.896271698113216,1.5251017567632226,3.0573584905660383,0.6316902388557937
