,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_tripeptide_composition', '_transition')","Composition,CTD",0.8744753947315169,2.0921395510901966,4.377047901235889,2.822510510483991,1.7580291006061775,0.8758906590370094
1,"('_dipeptide_composition', '_quasi_seq_order')","Composition,Quasi-Sequence-Order",0.8576732888889528,2.391496973721873,5.719257775320877,2.650676898635565,1.956248356522558,0.870511040498291
2,"('_tripeptide_composition', '_ctd')","Composition,CTD",0.8544819563716577,2.4806712011970977,6.153729608448653,2.621449985936487,1.970868019887824,0.8550012289110719
3,"('_tripeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.8370354397500998,2.4545738218956648,6.024932647135492,2.477156331598701,1.920794650716692,0.8436672190534745
4,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.8323407024612852,2.4277693665452036,5.894064097135298,2.4422278470318517,1.9518533445682877,0.8330836392408134
5,"('_moran_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.8254540592755688,2.525644327947194,6.378879271291834,2.3935644358755135,1.991903182878794,0.8254540743443587
6,"('_conjoint_triad', '_quasi_seq_order')","Conjoint Triad,Quasi-Sequence-Order",0.8227881602904195,2.3653928020106485,5.595083107803786,2.3754923321795345,1.9047419396528251,0.8264737121457049
7,"('_conjoint_triad', '_seq_order_coupling_number')","Conjoint Triad,Quasi-Sequence-Order",0.8212142334713194,2.6887868061818945,7.229574489097833,2.3650129851484536,2.2577386648181865,0.8241380279723552
8,"('_dipeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.8149550634979649,2.6360877152906927,6.9489584427065045,2.324670460778621,2.021433498024382,0.8257124410477158
9,"('_moran_autocorrelation', '_transition')","Autocorrelation,CTD",0.8141495887950473,2.809828911371223,7.895138511177592,2.319627435970493,2.261682732328095,0.81694747384399
10,"('_moran_autocorrelation', '_ctd')","Autocorrelation,CTD",0.8127273238505571,2.751234188729099,7.569289561231864,2.3108023028697686,2.2707066881864666,0.8269713370400749
11,"('_dipeptide_composition', '_composition')","Composition,CTD",0.8078892915157916,2.6866512898973256,7.2180951535069635,2.281519647984891,2.0630926872116917,0.8160436485019966
12,"('_tripeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.8065701097051488,2.9569303880618727,8.743437319843737,2.2737264151101426,2.3554471811475466,0.8069553662317634
13,"('_dipeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.8041395503088558,2.6429989541829615,6.9854434718122285,2.259574299197743,2.109600868536525,0.8050419851441871
14,"('_geary_autocorrelation', '_composition')","Autocorrelation,CTD",0.800808953445743,2.774157138211986,7.695947827492516,2.2406039295381466,2.2043214757888543,0.8028721845012898
15,"('_tripeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.7956020237571758,2.9903277418699776,8.942060003797199,2.211880725922594,2.36897418661189,0.822411038424439
16,"('_dipeptide_composition', '_distribution')","Composition,CTD",0.7878177912064608,2.664226520678295,7.098102953485573,2.1709284843283583,2.073282411623471,0.7892386178483118
17,"('_tripeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7871015890348072,2.620874266251304,6.868981919498311,2.1672738456663927,2.04545794010892,0.7941373296400849
18,"('_dipeptide_composition', '_transition')","Composition,CTD",0.7856202127133232,2.7323677850954216,7.46583371302726,2.1597728734190738,2.376385499333529,0.7869956742000064
19,"('_ctd', '_pseudo_aa_composition')","CTD,Pseudo Composition",0.7819586707711206,2.930945019470037,8.590438707156217,2.1415616915035858,2.3712223367856153,0.7819646422811265
20,"('_geary_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.7811646167951976,2.500206769413573,6.251033889821455,2.137672784337018,1.9108328592153938,0.7851713407319314
21,"('_geary_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7788202379331488,2.6447604075750886,6.9947576134767475,2.12631354990999,2.1302387787697747,0.7815894989889904
22,"('_tripeptide_composition', '_distribution')","Composition,CTD",0.7767322958769061,2.7924476824351188,7.797764059137266,2.116347827669737,2.2500616695052145,0.7941622211384262
23,"('_dipeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7756285785132204,2.8353601483877706,8.03926717106552,2.111136090993549,2.157446300368819,0.7756903096724583
24,"('_aa_composition', '_tripeptide_composition')","Composition,Composition",0.7733658756743479,2.7413992517859684,7.515269857692667,2.100570920046916,2.2248815421952086,0.796549400913227
25,"('_aa_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7728670429631845,2.533168345442126,6.4169418663499975,2.0982629999411366,2.0809794025238326,0.7861512567422865
26,"('_composition', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7666874616437149,2.977063363476042,8.862906270151283,2.070288933534427,2.3825109955069146,0.7740711122859877
27,"('_dipeptide_composition', '_seq_order_coupling_number')","Composition,Quasi-Sequence-Order",0.7655306331042924,2.8654639258866323,8.210883510557633,2.0651754068742934,2.128222562482461,0.7842479104036784
28,"('_geary_autocorrelation', '_amp_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7644235759319895,2.684296309923981,7.2054466794715015,2.0603171966771283,2.2965662133015265,0.7744592952890541
29,"('_ctd', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7634667031012656,3.3759542092658616,11.39706682305989,2.0561455653317657,2.6837573339064944,0.7676631504308025
30,"('_aa_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7627901483985965,2.6612490999352594,7.082246771906228,2.053211268427237,2.14296813295222,0.7663881499501872
31,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.7610803455198543,2.5921596493586327,6.71929164776307,2.0458512839505003,2.0438148868109085,0.7614559648143563
32,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.7547588215858834,2.8021749158748714,7.852184259158342,2.019311426794123,2.1151008662089095,0.7638014164116647
33,"('_transition', '_conjoint_triad')","CTD,Conjoint Triad",0.7543042312161887,3.025824016119092,9.15561097652307,2.017442480226967,2.332695831264894,0.7547357566063005
34,"('_tripeptide_composition', '_composition')","Composition,CTD",0.7521503737911052,2.816296029951009,7.931523328317815,2.008657385212986,2.3902082090930232,0.754131978185345
35,"('_dipeptide_composition', '_tripeptide_composition')","Composition,Composition",0.7495889324453902,2.419316741311107,5.853093494788194,1.9983577547255351,1.9156519924935635,0.7499090220289841
36,"('_distribution', '_conjoint_triad')","CTD,Conjoint Triad",0.745055822665494,2.88279747211239,8.310521265217586,1.9805118771362633,2.3650488453202865,0.7452549787610645
37,"('_tripeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7427258690331571,2.841571394988855,8.074527992818908,1.971523418042076,2.255598836883361,0.7436187295711767
38,"('_geary_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7389795175150815,2.7233370724847297,7.416564810369697,1.9573239308126664,2.2294899292670927,0.7592513790745115
39,"('_quasi_seq_order', '_amp_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7348973208895702,3.0308921262804462,9.186307081148804,1.9421954915228747,2.487997481408873,0.7470624233341547
40,"('_conjoint_triad', '_amp_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.733995050905616,2.8481216221925205,8.111796774800554,1.9388987987024207,2.3312944127309843,0.7529918445068957
41,"('_moran_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.7303524936382773,2.9254209481680795,8.558087723980625,1.9257583774397973,2.2439144650827054,0.7312666686881594
42,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation')","Composition,Autocorrelation",0.7257618814359756,2.7758292629001122,7.705228096772579,1.9095722270337094,2.2124267594794245,0.727526116258502
43,"('_geary_autocorrelation', '_seq_order_coupling_number')","Autocorrelation,Quasi-Sequence-Order",0.7254162903231869,3.11568249957828,9.70747743817836,1.9083701546860348,2.5232528179996003,0.7284687822484857
44,"('_dipeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7251339753671191,2.7062565117642152,7.323824307466218,1.9073898591971872,2.1927007339674476,0.7271043920696977
45,"('_moran_autocorrelation', '_geary_autocorrelation')","Autocorrelation,Autocorrelation",0.7233830827759267,2.718319719370523,7.389262096718637,1.9013437064690153,2.1569467260515114,0.7634804296697025
46,"('_normalized_moreaubroto_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7204191651299385,3.359488315359482,11.28616174103689,1.8912385045869193,2.7175475211758013,0.7204423358999044
47,"('_tripeptide_composition', '_seq_order_coupling_number')","Composition,Quasi-Sequence-Order",0.7199349008741542,3.134290093149196,9.823774388013195,1.8896027144465097,2.5062476581145554,0.7261997051641316
48,"('_geary_autocorrelation', '_transition')","Autocorrelation,CTD",0.715212782265419,2.878166910372992,8.283844763966014,1.8738712740850656,2.285253688891857,0.7154356379281259
49,"('_aa_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.715097654072185,3.2247113365625744,10.398763204155184,1.8734926229153976,2.6311237424029597,0.7232195611039399
50,"('_transition', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7112174864024574,3.2948122953080614,10.855788061313175,1.8608636560023084,2.7898179364747455,0.7116146632507965
51,"('_aa_composition', '_seq_order_coupling_number')","Composition,Quasi-Sequence-Order",0.7109472040805779,3.087848658246462,9.534809336234476,1.85999344096526,2.396313671763845,0.7117838213852424
52,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation')","Composition,Autocorrelation",0.7106104727095746,2.9792077460349056,8.875678794034382,1.8589109891431626,2.394195530936777,0.7127220797593055
53,"('_pseudo_aa_composition', '_amp_pseudo_aa_composition')","Pseudo Composition,Pseudo Composition",0.7074540151929454,3.5214752426583162,12.400787884655447,1.8488553277349569,2.7856155274955654,0.7216052333330356
54,"('_geary_autocorrelation', '_distribution')","Autocorrelation,CTD",0.7066771543708867,2.7789135226590784,7.7223603664174885,1.846405372746543,2.2368031271944995,0.7178707832795099
55,"('_distribution', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7032159833652905,3.30839236478901,10.945460039394218,1.8356071720435743,2.6908144497593254,0.7087333475519475
56,"('_seq_order_coupling_number', '_quasi_seq_order')","Quasi-Sequence-Order,Quasi-Sequence-Order",0.6956993191138714,3.201235848197134,10.247910955782425,1.812794345839945,2.7801282318404947,0.6966646736689823
57,"('_tripeptide_composition', '_quasi_seq_order')","Composition,Quasi-Sequence-Order",0.6923886139872305,2.7199248911237124,7.397991413354339,1.8030127454044087,1.9639186640069841,0.6937333682251834
58,"('_ctd', '_transition')","CTD,CTD",0.6864368817238452,2.8558963501080386,8.156143962560416,1.785819301707534,2.299460435481904,0.6870679739183188
59,"('_moran_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.6852786863833454,3.3241184341674423,11.04976336437181,1.782530306158388,2.767829133849644,0.7155330009285624
60,"('_moran_autocorrelation', '_seq_order_coupling_number')","Autocorrelation,Quasi-Sequence-Order",0.6830822639977132,3.1468765395036358,9.902831954878378,1.776342585717333,2.6137400586799875,0.6832385727484503
61,"('_composition', '_conjoint_triad')","CTD,Conjoint Triad",0.6776606852622229,3.2393934236634285,10.493669753273869,1.7613406603232435,2.5299114593907386,0.6943960612193982
62,"('_ctd', '_conjoint_triad')","CTD,Conjoint Triad",0.6716956117458839,3.444612513742597,11.865355369832093,1.7452661124223787,2.755490840760478,0.6841165015272934
63,"('_geary_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.6663248376386945,3.266307184815503,10.668762625577378,1.7311633921694285,2.562595566879999,0.6668204814195271
64,"('_normalized_moreaubroto_autocorrelation', '_distribution')","Autocorrelation,CTD",0.6639998005130388,3.3030099973564773,10.909875042636836,1.725163386231554,2.4775684705208603,0.6656900295345334
65,"('_moran_autocorrelation', '_composition')","Autocorrelation,CTD",0.6591380935784443,3.0737058874888583,9.44766788278367,1.7128162148449597,2.671237050767724,0.674624441801589
66,"('_aa_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.6553120524734077,3.1262353702919534,9.773347590464468,1.7032835457005324,2.5870682878535862,0.66633050420685
