,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_tripeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.8283475924965146,2.22045338307633,4.9304132264151175,2.4136542049930907,1.8602830188679293,0.8288402952868468
1,"('_transition', '_conjoint_triad')","CTD,Conjoint Triad",0.8075254603296285,2.562765255484199,6.567765754716992,2.2793622700596625,2.000660377358496,0.8104717872178114
2,"('_tripeptide_composition', '_ctd')","Composition,CTD",0.8034242538507977,2.6604745959079743,7.078125075471698,2.2554595024448583,2.0870754716981144,0.8044979434663339
3,"('_aa_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7949527459015608,2.487535754934089,6.187834132075507,2.2083760122176255,2.030320754716987,0.7963071488970942
4,"('_ctd', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition",0.790000606369425,2.900213098871864,8.41123601886794,2.182182052858571,2.3254528301886825,0.7950093790612829
5,"('_dipeptide_composition', '_distribution')","Composition,CTD",0.7856966536907426,2.7944110831956683,7.8087333018867895,2.1601580293971625,2.0929622641509447,0.7881390453062451
6,"('_composition', '_conjoint_triad')","CTD,Conjoint Triad",0.7827322801686977,2.7853311310208673,7.758069509433985,2.145370955299083,2.178113207547175,0.7838639381373113
7,"('_tripeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7814090374079368,3.048053396749145,9.290629509434,2.1388675851407934,2.4381509433962316,0.7973066055778953
8,"('_tripeptide_composition', '_transition')","Composition,CTD",0.7726991990189976,2.5081265841787497,6.2906989622641625,2.097488154945298,1.9247735849056635,0.7736516707031507
9,"('_dipeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7712913489005195,3.2843939189893683,10.787243415094341,2.091022489341853,2.540773584905662,0.7784612609022307
10,"('_aa_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7706042741876504,2.835542236254809,8.040299773584922,2.0878886775410055,2.1950943396226457,0.7841803331464459
11,"('_geary_autocorrelation', '_amp_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7660220549015799,2.9060929162254703,8.445376037735858,2.067343004095549,2.1958490566037736,0.7682941854909784
12,"('_ctd', '_transition')","CTD,CTD",0.764063723337552,3.165455790007276,10.020110358490589,2.0587453879312956,2.498735849056609,0.7644439527230352
13,"('_distribution', '_conjoint_triad')","CTD,Conjoint Triad",0.7588456109558949,2.7607522012996975,7.621752716981125,2.0363499520809687,2.278377358490566,0.7589520488573683
14,"('_tripeptide_composition', '_composition')","Composition,CTD",0.7587403112708528,3.0943863475533497,9.575226867924561,2.0359055131199595,2.468716981132081,0.7679794533968269
15,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.7563885366134966,2.8655212209865977,8.21121186792452,2.026054575465518,2.3460566037735835,0.7594269134161086
16,"('_seq_order_coupling_number', '_amp_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7519446802666658,2.9831699487954446,8.899302943396215,2.00782439863334,2.4289433962264106,0.7535140521677284
17,"('_composition', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition",0.748149765275573,3.1723547976643762,10.063834962264185,1.9926398897931723,2.5551509433962334,0.755043390922052
18,"('_aa_composition', '_tripeptide_composition')","Composition,Composition",0.7480369287463551,2.9859232983109654,8.915737943396234,1.992193658235397,2.4125094339622652,0.7595926385312032
19,"('_geary_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7405463422909655,2.5883352812767297,6.699479528301889,1.9632251147740867,2.2005849056603766,0.7526332296281837
20,"('_aa_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7388396521692532,3.060819898790223,9.36861845283019,1.9567997347505597,2.413245283018869,0.7593014926454387
21,"('_moran_autocorrelation', '_geary_autocorrelation')","Autocorrelation,Autocorrelation",0.7378135365748255,2.9575790871257817,8.747274056603773,1.9529668306297112,2.375452830188679,0.7439326432064501
22,"('_seq_order_coupling_number', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7363337359017884,2.9290045382186887,8.579067584905673,1.9474787033923482,2.294603773584908,0.7466375949308364
23,"('_moran_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.734997234803311,2.969922742149979,8.820441094339651,1.942561589712899,2.318150943396231,0.7368467583642875
24,"('_distribution', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7345104316176019,3.2643307557627934,10.655855283018889,1.9407798265742517,2.5527547169811364,0.7346932496852594
25,"('_quasi_seq_order', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7339196137283174,3.1106536654560406,9.6761662264151,1.9386239279707551,2.43573584905661,0.7368258328609926
26,"('_tripeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7333138990937527,3.1903651266758577,10.17842964150946,1.9364211127545767,2.4591132075471727,0.7349285610509985
27,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7331244279933716,2.8674941726512193,8.2225228301887,1.935733599506763,2.195811320754719,0.7346991045938462
28,"('_moran_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7302249494993853,2.718841932299519,7.392101452830183,1.92530309398918,2.067792452830185,0.7669254781383136
29,"('_dipeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7279165235742759,3.143716479246622,9.882953301886777,1.9171183141995372,2.4236415094339576,0.7292210397563592
30,"('_tripeptide_composition', '_distribution')","Composition,CTD",0.7261364233988483,3.515410773389137,12.35811290566041,1.9108775677623253,2.8248301886792486,0.7278803792347388
31,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation')","Composition,Autocorrelation",0.7223366913037301,3.2554533521925753,10.597976528301874,1.8977576586302851,2.5279622641509407,0.7278478416298593
32,"('_conjoint_triad', '_seq_order_coupling_number')","Conjoint Triad,Quasi-Sequence-Order",0.7218586685351711,3.1479696990941832,9.909713226415121,1.8961261832322713,2.4006981132075524,0.7218607189848114
33,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.7200572161393457,3.1763475523917233,10.089183773584892,1.8900154809641367,2.5117358490566,0.7230505782777454
34,"('_tripeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7196255785415897,3.8017360011765056,14.453196622641528,1.8885600772184024,3.1028867924528334,0.7247022363226148
35,"('_moran_autocorrelation', '_composition')","Autocorrelation,CTD",0.7168359792377093,2.878770354633549,8.28731875471697,1.879234447779913,2.2663396226415076,0.7168369193113592
36,"('_aa_composition', '_distribution')","Composition,CTD",0.71665212835961,3.174496804576146,10.077429962264164,1.8786246761871441,2.5504528301886804,0.7270950849267842
37,"('_geary_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7134420413571623,3.0482494852830344,9.291824924528285,1.868072652365407,2.3215660377358467,0.7237781093461155
38,"('_ctd', '_conjoint_triad')","CTD,Conjoint Triad",0.7126156054217186,3.2872834228108196,10.806232301886817,1.8653846952060253,2.717056603773588,0.7132373843611004
39,"('_moran_autocorrelation', '_distribution')","Autocorrelation,CTD",0.7089145636091667,2.87314591240373,8.254967433962262,1.853487926191473,2.3341132075471704,0.7095286148732959
40,"('_composition', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7087240367176764,3.202155438580429,10.25379945283022,1.8528816333549394,2.6137924528301952,0.7195646029836164
41,"('_moran_autocorrelation', '_transition')","Autocorrelation,CTD",0.7030508999446535,3.439024820640457,11.826891716981127,1.835096864993776,2.787113207547168,0.7030510181549576
42,"('_distribution', '_pseudo_aa_composition')","CTD,Pseudo Composition",0.70248028648422,3.0337322520879324,9.20353137735852,1.8333362530405322,2.3263207547169857,0.7057792288639938
43,"('_moran_autocorrelation', '_amp_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.6995784269864991,2.992597682080315,8.955640886792473,1.8244604029315659,2.2817169811320794,0.6995803281895279
44,"('_dipeptide_composition', '_transition')","Composition,CTD",0.6986677872140526,3.7151793958564463,13.802557943396268,1.8217015154604705,2.8533773584905715,0.7035186994633718
45,"('_dipeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.6975003319883835,3.5478804860643516,12.58745594339622,1.8181828158937845,2.667566037735848,0.7053398386915459
46,"('_geary_autocorrelation', '_distribution')","Autocorrelation,CTD",0.6966610567234555,2.946719637604076,8.683156622641498,1.8156658083333617,2.16156603773585,0.6970459292541227
47,"('_transition', '_distribution')","CTD,CTD",0.6949109513930731,3.2856429283825435,10.795449452830216,1.8104506481578637,2.627264150943401,0.6987597700092453
48,"('_dipeptide_composition', '_quasi_seq_order')","Composition,Quasi-Sequence-Order",0.6921173916437284,2.909832411046615,8.467124660377358,1.8022184084175172,2.1522452830188676,0.6932648531172267
49,"('_dipeptide_composition', '_composition')","Composition,CTD",0.6915640315715332,3.378223550697998,11.41239435849059,1.8006010169464426,2.4631509433962298,0.6917406915449399
50,"('_ctd', '_distribution')","CTD,CTD",0.6908889696255806,3.0856970834101722,9.521526490566043,1.7986337924397122,2.633245283018869,0.691561446806858
51,"('_normalized_moreaubroto_autocorrelation', '_distribution')","Autocorrelation,CTD",0.6887845642974832,3.41314313173882,11.649546037735881,1.7925423934294147,2.663698113207551,0.6917566863970145
52,"('_aa_composition', '_seq_order_coupling_number')","Composition,Quasi-Sequence-Order",0.6866646086595539,3.3143281939721225,10.984771377358511,1.7864681356782202,2.568773584905661,0.686773258171022
53,"('_tripeptide_composition', '_seq_order_coupling_number')","Composition,Quasi-Sequence-Order",0.685149354786605,3.472823254715185,12.060501358490571,1.7821641624428732,2.8171698113207557,0.6867977658005023
54,"('_conjoint_triad', '_amp_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.6851470149920029,3.368802191810492,11.348828207547175,1.7821575404541468,2.6122075471698136,0.6908829351472464
55,"('_ctd', '_composition')","CTD,CTD",0.6849051539593168,3.061992125003735,9.375795773584889,1.7814734334085054,2.507584905660376,0.6863449291196602
56,"('_aa_composition', '_quasi_seq_order')","Composition,Quasi-Sequence-Order",0.6804712184173106,3.6204081261647847,13.107355000000009,1.7690699614996213,2.7701698113207582,0.6807989263517236
57,"('_aa_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.6773318616571674,3.1656408633121518,10.021282075471706,1.760442960880965,2.656415094339623,0.6786149376907509
58,"('_ctd', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.6769213569406292,2.9930754014041425,8.95850035849057,1.7593241932730677,2.491641509433962,0.6772572588493336
59,"('_composition', '_pseudo_aa_composition')","CTD,Pseudo Composition",0.6753486886180252,3.398572669324472,11.550296188679265,1.7550577815432635,2.7072452830188696,0.7122215566917343
