,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('aa_comp', 'dipeptide_comp')",1.0,4.499182315647363,20.242641509433966,1.1797274988997335,3.3698113207547173,0.27138822997271916
68,"('composition', 'pseudo_aa_comp')",1.0,5.093040015921098,25.939056603773576,1.1153085885021192,4.0924528301886784,0.18096569555530673
66,"('composition', 'seq_order_coupling_number')",1.0,5.255347680723229,27.618679245283026,1.1815694506315182,4.201886792452831,0.3494225988481523
65,"('composition', 'conjoint_triad')",1.0,5.148071630177067,26.502641509433964,1.1034396926154773,3.807547169811321,0.17636518235977094
64,"('composition', 'distribution')",1.0,5.206418390105639,27.10679245283019,1.1753933438693207,4.060377358490566,0.26597744725148087
63,"('composition', 'transition')",1.0,4.221552964723085,17.82150943396227,1.4404175761591818,3.5433962264150947,0.516451112189663
62,"('geary_autocorrelation', 'amphipilic_pseudo_aa_comp')",1.0,3.979617882481437,15.837358490566038,1.3382544209211091,3.0716981132075474,0.47158431651278365
61,"('geary_autocorrelation', 'pseudo_aa_comp')",1.0,3.6452346768152806,13.287735849056604,1.6533413403537975,2.7264150943396226,0.6508306088574303
60,"('geary_autocorrelation', 'quasi_seq_order_descriptors')",1.0,4.721048812159481,22.288301886792446,1.3185663812267527,3.928301886792453,0.41516300789683036
59,"('geary_autocorrelation', 'seq_order_coupling_number')",1.0,4.6929895528752485,22.02415094339623,1.2505062686329156,3.8150943396226413,0.390301178887031
58,"('geary_autocorrelation', 'conjoint_triad')",1.0,4.147561229318187,17.20226415094339,1.2804719766696535,3.252830188679245,0.41369242272128737
57,"('geary_autocorrelation', 'distribution')",1.0,4.513418149942061,20.370943396226416,1.4325650373861858,3.69811320754717,0.5068292482246208
56,"('geary_autocorrelation', 'transition')",1.0,3.9845929694355826,15.876981132075475,1.6407007867369126,3.1433962264150943,0.6303936553840365
55,"('geary_autocorrelation', 'composition')",1.0,5.302526987468351,28.116792452830182,1.0757170183774873,4.413207547169812,0.25586575656131716
54,"('moran_autocorrelation', 'amphipilic_pseudo_aa_comp')",1.0,4.659054888368476,21.70679245283019,1.171002056383698,3.6716981132075466,0.2776053139395831
53,"('moran_autocorrelation', 'pseudo_aa_comp')",1.0,4.571445417758717,20.89811320754717,1.2658401311394476,3.637735849056604,0.36616239600189615
52,"('moran_autocorrelation', 'quasi_seq_order_descriptors')",1.0,4.277739660588707,18.299056603773586,1.3961130704700588,3.2169811320754715,0.4951155149085952
51,"('moran_autocorrelation', 'seq_order_coupling_number')",1.0,4.589384798661873,21.062452830188683,1.2169560326038176,3.733962264150943,0.3133795255967844
50,"('moran_autocorrelation', 'conjoint_triad')",1.0,4.369750219535675,19.094716981132077,1.1419830053520605,3.6075471698113204,0.21873843429748452
49,"('moran_autocorrelation', 'distribution')",1.0,4.995110817136263,24.9511320754717,1.1899084070938653,3.8886792452830186,0.3184872618693768
48,"('moran_autocorrelation', 'transition')",1.0,5.066948022641533,25.673962264150944,1.0684755244144752,3.9320754716981137,0.10722272179879255
67,"('composition', 'quasi_seq_order_descriptors')",1.0,4.5416936413716265,20.626981132075468,1.2836575208593897,3.5339622641509436,0.38225891545395185
69,"('composition', 'amphipilic_pseudo_aa_comp')",1.0,4.743973336652297,22.505283018867924,1.4765094912925625,3.8226415094339625,0.5374794813609852
46,"('moran_autocorrelation', 'geary_autocorrelation')",1.0,4.939463724615502,24.39830188679245,1.2569975601584715,4.1000000000000005,0.35609441591494373
70,"('transition', 'distribution')",1.0,5.676864667475363,32.22679245283017,1.2119790143884692,4.70943396226415,0.3432538669661547
89,"('quasi_seq_order_descriptors', 'amphipilic_pseudo_aa_comp')",1.0,5.118575126024304,26.199811320754716,0.9390042321894104,3.949056603773585,-0.14573233865353807
88,"('quasi_seq_order_descriptors', 'pseudo_aa_comp')",1.0,5.032235708550933,25.323396226415106,1.1857796448689677,3.867924528301888,0.30418113787130474
