,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
14,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation')",0.808909087497028,3.878850247854771,15.045479245283016,1.4174905708930994,3.04,0.5896999572468303
88,"('quasi_seq_order_descriptors', 'pseudo_aa_comp')",0.7816127074101804,3.534326548430888,12.491464150943393,1.491636891499133,2.853207547169812,0.5469197934573954
59,"('geary_autocorrelation', 'seq_order_coupling_number')",0.7770159743118101,3.726224251143684,13.884747169811309,1.4831413908133815,3.014716981132074,0.601531231897798
62,"('geary_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.7757371347611071,3.453790916965474,11.92867169811321,1.3832340781518855,2.698490566037736,0.5894650418255518
47,"('moran_autocorrelation', 'composition')",0.7755769300165023,4.1197013996940965,16.971939622641496,1.504435607172289,3.1969811320754693,0.6199930969560299
43,"('norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors')",0.775497000547004,3.9971612568431034,15.977298113207539,1.5440071515599256,3.176603773584906,0.6178695458088331
16,"('dipeptide_comp', 'geary_autocorrelation')",0.7748717177736681,3.068033602925373,9.412830188679244,1.6193105725583252,2.178867924528302,0.63640133236073
17,"('dipeptide_comp', 'composition')",0.774776674745103,2.9729649770417703,8.838520754716974,1.7221355991280278,2.106415094339622,0.6666041846212114
21,"('dipeptide_comp', 'seq_order_coupling_number')",0.7744057856568849,3.399548249677713,11.556928301886803,1.578469456639058,2.6750943396226425,0.6344060505099632
81,"('conjoint_triad', 'seq_order_coupling_number')",0.7743866079614254,3.159284609730979,9.981079245283023,1.6569511524697895,2.450943396226416,0.6528585536011406
54,"('moran_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.7735533002861898,3.1965075281247954,10.21766037735849,1.6927817886949286,2.5056603773584905,0.6596311127194137
60,"('geary_autocorrelation', 'quasi_seq_order_descriptors')",0.7715944269469862,4.136972733319186,17.114543396226413,1.4159349957279896,3.2947169811320745,0.5722160000575266
35,"('tripeptide_comp', 'amphipilic_pseudo_aa_comp')",0.7713917977085849,3.60048005185053,12.963456603773597,1.4751795273557797,2.7622641509433974,0.6495815074580598
86,"('seq_order_coupling_number', 'pseudo_aa_comp')",0.7713292760633014,3.2375940286483766,10.482015094339625,1.645317683249107,2.569433962264151,0.6585769194079718
0,"('aa_comp', 'dipeptide_comp')",0.7703499525286801,4.071749890380218,16.57914716981132,1.6002939802999214,3.051698113207547,0.658884907247662
