,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
18,"('dipeptide_comp', 'transition')",0.8405170811348969,3.3298437098904143,11.087859132296757,1.8013639782627433,2.615023303383386,0.693142889343134
1,"('aa_comp', 'tripeptide_comp')",0.8328600295331983,3.320504082840551,11.02574736416077,1.7258075843904381,2.668508186802797,0.6602807253858987
15,"('dipeptide_comp', 'moran_autocorrelation')",0.8290994005540266,3.597969351055361,12.945383451133736,1.817694826423528,2.965381106667794,0.6992166307909314
25,"('tripeptide_comp', 'norm_moreaubroto_autocorrelation')",0.8286936243845168,3.220197856818852,10.369674237060728,1.812176062438406,2.561831673450203,0.6896693310472779
27,"('tripeptide_comp', 'geary_autocorrelation')",0.8246908200465747,2.7567716437488516,7.599789895777745,1.9761224232964665,2.131950667902,0.7390726593384305
32,"('tripeptide_comp', 'seq_order_coupling_number')",0.8153431362572792,2.776103296080903,7.706749510511253,2.0939169548241465,2.191619220417574,0.7864260436237986
22,"('dipeptide_comp', 'quasi_seq_order_descriptors')",0.8149323620663033,3.0709201289284365,9.430550438257844,1.7769170506707934,2.2946077675451497,0.6925540632422118
31,"('tripeptide_comp', 'conjoint_triad')",0.8147814392332633,2.8563438909440104,8.158700423333169,1.7708814346392694,2.2470467407644215,0.6792938799516929
14,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation')",0.8133503345600124,2.931573415642852,8.594122691303898,1.8357359062186325,2.403704866009938,0.6975670726893162
38,"('norm_moreaubroto_autocorrelation', 'composition')",0.811685024033096,2.9696192852045256,8.818638699058637,1.6593330405083813,2.298120823937737,0.6299366110804518
20,"('dipeptide_comp', 'conjoint_triad')",0.8097114999364975,2.722276661577682,7.410790222170528,2.196594001753033,2.0639499002179096,0.7901610800515475
16,"('dipeptide_comp', 'geary_autocorrelation')",0.8089400490627628,2.4894265154817883,6.197244375983798,2.128459537098131,1.9920585049520116,0.7785727249749912
13,"('dipeptide_comp', 'tripeptide_comp')",0.8077672292478175,2.695499566329234,7.265717912081089,2.105335477757639,2.0362856358503243,0.7802609679049344
28,"('tripeptide_comp', 'composition')",0.8076028236547976,2.8387789783947044,8.058666088175682,1.954627480129685,2.347299801536996,0.7334010154454143
33,"('tripeptide_comp', 'quasi_seq_order_descriptors')",0.8057568477674122,2.7652455839177366,7.646583139376543,2.1843258283393356,2.258069189516433,0.7889769159121371
35,"('tripeptide_comp', 'amphipilic_pseudo_aa_comp')",0.8042409131512415,2.602417628046797,6.772577510768717,2.3073872380038236,2.0306938116042272,0.8087163422010083
34,"('tripeptide_comp', 'pseudo_aa_comp')",0.8023496974900134,2.5725999019799537,6.618270255667267,2.1446894454811356,1.937162517111925,0.7897920868855459
19,"('dipeptide_comp', 'distribution')",0.8014674769828641,3.0047838772332685,9.028726148880994,1.6213808125345657,2.565667643300536,0.6250087152635643
84,"('conjoint_triad', 'amphipilic_pseudo_aa_comp')",0.8012416551874402,3.9986177599613972,15.9889439902787,1.6156257687577664,3.060410700462655,0.6179914298353513
30,"('tripeptide_comp', 'distribution')",0.8001347562883524,2.911405568654132,8.47628238519029,2.1572546879516525,2.3716156785780296,0.7828149863448183
26,"('tripeptide_comp', 'moran_autocorrelation')",0.7999826242213445,2.885650338593275,8.326977876623483,2.120092651748899,2.31859221745077,0.7767705146019297
29,"('tripeptide_comp', 'transition')",0.7996027497699412,2.5694368773068015,6.602005866464127,2.173487029135592,2.1319419166787603,0.7876351149174409
41,"('norm_moreaubroto_autocorrelation', 'conjoint_triad')",0.7983989942060601,2.6092586912463815,6.80823091784478,2.1942059310851856,2.040713059734528,0.7917090979206979
71,"('transition', 'conjoint_triad')",0.7975188823204272,3.186110630727953,10.151300951237676,2.0345825251563925,2.4270726306877086,0.7885627673937774
59,"('geary_autocorrelation', 'seq_order_coupling_number')",0.7966546737539514,2.747094669553053,7.546529123486797,1.7841977427800677,2.3069415713069543,0.6851650795060058
60,"('geary_autocorrelation', 'quasi_seq_order_descriptors')",0.794822584529481,2.9512501255983694,8.709877303844392,1.7153018413629986,2.1850830432221153,0.6565310878729433
