,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
36,"('norm_moreaubroto_autocorrelation', 'moran_autocorrelation')",0.9676668442950438,3.380117473117684,11.425194132075477,1.546964585301091,2.7332641509433966,0.5940300430822607
44,"('norm_moreaubroto_autocorrelation', 'pseudo_aa_comp')",0.9662746872136422,3.7127972036554455,13.784863075471694,1.6865752106312182,3.0011886792452827,0.6677510309530201
15,"('dipeptide_comp', 'moran_autocorrelation')",0.9652452629629203,3.4361328691335022,11.807009094339636,1.7777027610582317,2.639849056603773,0.6873625537467314
23,"('dipeptide_comp', 'pseudo_aa_comp')",0.9641886511390054,3.288000286920983,10.810945886792464,1.5439226763719693,2.499169811320757,0.5830269545091407
43,"('norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors')",0.9639652089101,2.843305875541149,8.08438830188682,1.8594703349918187,2.321509433962267,0.7052277997943341
14,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation')",0.963612112097168,2.5956683510570517,6.737494188679235,2.0228274369056107,2.0991320754716964,0.7731563118902126
55,"('geary_autocorrelation', 'composition')",0.963464426602416,2.8966797290743416,8.390753452830202,1.8687853150577853,2.31224528301887,0.708248832535707
8,"('aa_comp', 'conjoint_triad')",0.9629737570662428,3.41802776907805,11.682913830188673,1.7820154007105489,2.513716981132074,0.6852227096097282
16,"('dipeptide_comp', 'geary_autocorrelation')",0.962787588451583,2.6580813551443514,7.065396490566032,2.1518929094305004,2.136716981132073,0.7799467525631882
17,"('dipeptide_comp', 'composition')",0.962742836031196,3.420108910877574,11.697144962264188,1.789675613749242,2.521603773584912,0.6838073655308925
88,"('quasi_seq_order_descriptors', 'pseudo_aa_comp')",0.9627405161824445,3.2127003806531764,10.321443735849064,1.5972509630453526,2.4577358490566037,0.634926346355345
22,"('dipeptide_comp', 'quasi_seq_order_descriptors')",0.9625287277911276,3.7825605433556464,14.307764264150963,1.7005601163699389,2.846603773584907,0.6492316627403576
78,"('distribution', 'quasi_seq_order_descriptors')",0.9625273358609038,3.0204332033417125,9.12301673584908,1.829253440830927,2.5249245283018915,0.6956469736067321
61,"('geary_autocorrelation', 'pseudo_aa_comp')",0.962284087340385,2.8753831147524993,8.267828056603785,1.7929086942352706,2.241452830188681,0.68911454378993
39,"('norm_moreaubroto_autocorrelation', 'transition')",0.9622238126888786,2.938828354011106,8.636712094339629,1.8745797971862441,2.256245283018871,0.7188912056242072
24,"('dipeptide_comp', 'amphipilic_pseudo_aa_comp')",0.9619593277597507,3.337229972116466,11.137103886792469,1.7328077906970476,2.8038490566037746,0.6662502254506403
71,"('transition', 'conjoint_triad')",0.9618975227049027,2.812564598838846,7.9105196226415195,1.8546877309623326,2.24992452830189,0.7058147790726387
42,"('norm_moreaubroto_autocorrelation', 'seq_order_coupling_number')",0.9618732984627385,2.9405509687811935,8.646840000000015,1.9504288042752091,2.2700754716981164,0.7367547371460877
58,"('geary_autocorrelation', 'conjoint_triad')",0.9618282610665521,3.291667221081075,10.835073094339608,1.4607994646251097,2.6686415094339595,0.52310279336535
26,"('tripeptide_comp', 'moran_autocorrelation')",0.9616379361572529,2.0785423956624087,4.320338490566025,2.445873287400705,1.7043396226415057,0.8342126071594236
