,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
17,"('dipeptide_comp', 'composition')",0.8101465809763593,3.4844590475415824,12.141454853994391,1.5910163035508582,2.726742029047851,0.6111434976508969
39,"('norm_moreaubroto_autocorrelation', 'transition')",0.8045897645920079,3.8230133258540557,14.61543088965769,1.5892529292488449,2.867918888248762,0.598294005392074
50,"('moran_autocorrelation', 'conjoint_triad')",0.8010914902034458,3.2801247347883904,10.759218275770609,1.6352754223281225,2.421318832866319,0.6198447227996402
53,"('moran_autocorrelation', 'pseudo_aa_comp')",0.8005888742699735,3.354910948369941,11.255427471492498,1.7251597508490364,2.61561988400465,0.6583321782469347
54,"('moran_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.8004729248539207,3.7904348099369316,14.367396048381623,1.6545879182746481,3.1632991866832563,0.6277183846888588
15,"('dipeptide_comp', 'moran_autocorrelation')",0.7994604701286165,3.301077528889681,10.897112851740403,1.7236644218223796,2.424836373904343,0.6725285805893377
21,"('dipeptide_comp', 'seq_order_coupling_number')",0.7987749459981175,3.6212344711974316,13.113339095388541,1.6329972274183056,2.6186511673932236,0.6472960107040615
62,"('geary_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.794260500036426,3.1856603020818204,10.148431560260034,1.7611452301151538,2.5345609571615917,0.6827350049165428
18,"('dipeptide_comp', 'transition')",0.793389692828366,3.030928589004654,9.186528111645742,1.7340213736309786,2.3140882420815196,0.6619110635916059
16,"('dipeptide_comp', 'geary_autocorrelation')",0.7929405291005949,2.846980527524344,8.105298124102793,1.778803505525942,2.172676130917217,0.7024084788904563
24,"('dipeptide_comp', 'amphipilic_pseudo_aa_comp')",0.7900333309970942,3.064336434960084,9.390157786623876,1.8244938938544528,2.3111923357072874,0.6944779716253373
36,"('norm_moreaubroto_autocorrelation', 'moran_autocorrelation')",0.7877029522366709,2.8982464873540454,8.399832701460063,1.8124605976973864,2.4023060025047465,0.691038056599494
1,"('aa_comp', 'tripeptide_comp')",0.7873539257090504,2.9225285049859133,8.541172862455198,1.7333539560486144,2.3430645003626034,0.6609631790681509
2,"('aa_comp', 'norm_moreaubroto_autocorrelation')",0.786837786368983,3.0026893373522583,9.016143256648945,1.8898254522455018,2.5718676044009205,0.7226745182553369
3,"('aa_comp', 'moran_autocorrelation')",0.7866370538140104,3.0200375298360127,9.120626681618006,1.9529637114057885,2.376785880354054,0.7340368325295599
60,"('geary_autocorrelation', 'quasi_seq_order_descriptors')",0.7854803017846006,3.470223092148676,12.042448309281918,1.7800432644433466,2.679708883991197,0.6834680880278325
43,"('norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors')",0.7849875283343397,2.913815985354404,8.490323596506855,1.9251708373481695,2.2689949944873544,0.7250681194327147
46,"('moran_autocorrelation', 'geary_autocorrelation')",0.7846227638547172,3.5351471208554477,12.497265166092562,1.700752687528859,2.8995528893613334,0.7001330515963131
13,"('dipeptide_comp', 'tripeptide_comp')",0.783891399153059,3.0420256156560264,9.253919846307427,1.7650903580255177,2.4071603241856634,0.6752305423487172
56,"('geary_autocorrelation', 'transition')",0.7834934627057114,2.834614471290064,8.03503920084705,1.8217567438044875,2.2170488171026537,0.702614261172916
45,"('norm_moreaubroto_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.78320031846169,2.9824404006977323,8.89495074371405,1.882815016276935,2.253568119138605,0.7153195941881998
58,"('geary_autocorrelation', 'conjoint_triad')",0.7822367462925437,2.7224226336037707,7.41158499595809,1.9144121564217673,2.2223347269451117,0.7221875716911259
32,"('tripeptide_comp', 'seq_order_coupling_number')",0.7820061223366379,3.7534643387481696,14.088494542254235,1.6252153775866232,2.8002873508905246,0.6207012120708748
20,"('dipeptide_comp', 'conjoint_triad')",0.7816682846481333,2.8704019865351786,8.2392075643051,1.8785088154667637,2.034177312730623,0.713375573360209
59,"('geary_autocorrelation', 'seq_order_coupling_number')",0.7815327501060075,3.025395866731645,9.153020150436923,1.922814308171979,2.4478308985045185,0.7285126841286316
61,"('geary_autocorrelation', 'pseudo_aa_comp')",0.7813117180039787,2.656973201791395,7.059506595037616,2.0459789780436997,2.0590280301909414,0.7573186642711592
